user_id,full_name,pan,pan_valid,aadhaar_last4,aadhaar_valid,aadhaar_premasked,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,income_valid,income_missing,dob_missing,signup_missing
USR10001,Osha Dewan,XZDVU00501,False,8310,True,False,1964-03-24 00:00:00,Pune,Maharashtra,37535.0,Retired,2025-09-27 00:00:00,VERIFIED,MEDIUM,True,False,False,False
USR10007,Yutika Borra,,False,9606,True,False,1963-09-27 11:39:00,Bengaluru,Karnataka,20393.0,Unemployed,2025-02-07 00:00:00,VERIFIED,MEDIUM,True,False,False,False
USR10010,Warda Dada,WJVZZ1464B,True,2042,True,False,1964-07-26 14:51:21,Jalandhar,Punjab,48376.0,Gig Worker,2024-07-26 09:55:29,PENDING,HIGH,True,False,False,False
USR10013,Azaan Nigam,LQQSW5207I,True,3345,True,False,1982-12-12 00:00:00,Pune,Maharashtra,,Salaried,2025-10-09 00:00:00,VERIFIED,HIGH,False,True,False,False
USR10014,Nisha Patil,RPDIH8589M,True,9228,False,True,1987-08-29 17:03:46,Mumbai,Maharashtra,18633.0,Freelancer,2026-01-28 00:00:00,VERIFIED,MEDIUM,True,False,False,False
USR10015,Nitara Butala,ZATCW5166R,True,3494,True,False,2007-05-17 00:00:00,Ludhiana,Punjab,7232.0,Freelancer,2026-02-10 00:00:00,VERIFIED,LOW,True,False,False,False
USR10020,Ekaraj Bora,OBRCZ2255G,True,7298,True,False,1982-03-12 00:00:00,Delhi,Delhi,31737.0,Retired,2024-04-10 00:00:00,VERIFIED,MEDIUM,True,False,False,False
USR10022,Unni Bajaj,OASHV5339A,True,1007,True,False,1962-11-10 08:55:28,Amritsar,Punjab,,Gig Worker,2026-02-02 18:39:00,VERIFIED,LOW,False,True,False,False
USR10024,Hemang Kumar,UBHIY9130I,True,9547,True,False,1968-04-14 01:12:00,Kolkata,West Bengal,22557.0,Salaried,2024-11-19 01:48:00,VERIFIED,HIGH,True,False,False,False
USR10027,Aayush Shenoy,SXXAL10941,False,4804,True,False,1960-02-16 00:00:00,Delhi,Delhi,18134.0,Retired,,VERIFIED,LOW,True,False,False,True
USR10030,Nirja Subramanian,UCCFI2469W,True,7814,False,True,1982-03-08 00:00:00,Chennai,Tamil Nadu,83400.0,Unemployed,2024-08-03 16:27:00,VERIFIED,MEDIUM,True,False,False,False
USR10031,Yasti Sami,IKRBX1473T,True,3372,True,False,1995-11-26 00:00:00,Pune,Maharashtra,27676.0,Self Employed,2026-02-03 00:00:00,PENDING,LOW,True,False,False,False
USR10043,Rehaan Buch,TWXGM2046F,True,3663,True,False,1991-07-06 00:00:00,Ludhiana,Punjab,17368.0,Business Owner,2025-03-21 00:00:00,VERIFIED,MEDIUM,True,False,False,False
USR10045,Mohammed Sur,HGVSK6101C,True,8704,True,False,1979-03-02 00:00:00,Pune,Maharashtra,42100.0,Student,2024-05-13 00:00:00,REJECTED,MEDIUM,True,False,False,False
USR10046,Indrajit Patla,ZIEPW3536D,True,7960,True,False,2006-01-04 23:40:26,Jalandhar,Punjab,33616.0,Self Employed,2025-03-30 00:00:00,VERIFIED,MEDIUM,True,False,False,False
USR10047,Pushti Datta,RPFZI6765W,True,7427,True,False,1979-06-11 00:00:00,Pune,Maharashtra,38887.0,Salaried,,PENDING,LOW,True,False,False,True
USR10048,Jhalak Chaudhry,PVBSX3783Q,True,3969,True,False,2001-05-31 00:00:00,Bengaluru,Karnataka,48066.0,Retired,2026-02-06 00:00:00,PENDING,LOW,True,False,False,False
USR10049,Eshana De,OCHZK0381G,True,8615,True,False,1980-10-16 00:00:00,Amritsar,Punjab,55166.0,Gig Worker,2024-05-19 00:00:00,VERIFIED,MEDIUM,True,False,False,False
USR10052,Rohan Kothari,UBWTV8602C,True,2668,True,False,1960-10-28 00:00:00,Kolkata,West Bengal,61355.0,Business Owner,2026-01-26 05:06:55,VERIFIED,MEDIUM,True,False,False,False
